Identifiant ,Sales_Date,House_Type ,Number_of_Rooms,Address,Post_Code,City,Price,House_Inside_Area,Population,Population_Density(km2),Number_of_Schools,Number_of_Hospital,Region_Area(km2),Avg_Monthly_Salary,Avg_Age
2020-288550,29/05/2020,Appartement,4,9001 LES FLORALIES,83130,La Garde,202000,74,25380,1600,14,4,15.54,2293,43.02
2020-288441,29/05/2020,Appartement,4,9001 LE BERLIOZ,83130,La Garde,200550,68,25380,1600,14,4,15.54,2293,43.02
2020-288480,26/05/2020,Appartement,5,68 LE THOUAR,83130,La Garde,270000,95,25380,1600,14,4,15.54,2293,43.02
2020-288429,25/05/2020,Maison,4,9010 RUE DES ROMARINS,83130,La Garde,250000,89,25380,1600,14,4,15.54,2293,43.02
2020-288148,25/05/2020,Appartement,2,66 RUE SERGENT CHEF LESCONNEC,83130,La Garde,136500,40,25380,1600,14,4,15.54,2293,43.02
2020-288269,18/05/2020,Appartement,3,9001 RES LES RESTANQUES DU THOUAR,83130,La Garde,226395,63,25380,1600,14,4,15.54,2293,43.02
2020-288040,18/05/2020,Appartement,5,9001 IMM LE PLEIN SOLEIL,83130,La Garde,211500,77,25380,1600,14,4,15.54,2293,43.02
2020-288031,18/05/2020,Appartement,3,115 ALL HENRI MATISSE,83130,La Garde,229000,69,25380,1600,14,4,15.54,2293,43.02
2020-288340,18/05/2020,Appartement,4,70 RUE MARC DELAGE,83130,La Garde,191363,67,25380,1600,14,4,15.54,2293,43.02
2020-288022,18/05/2020,Appartement,3, LE TRANIER,83130,La Garde,147500,55,25380,1600,14,4,15.54,2293,43.02
2020-288120,18/05/2020,Appartement,4,200 RUE JEAN BARTOLINI,83130,La Garde,220000,78,25380,1600,14,4,15.54,2293,43.02
2020-288202,14/05/2020,Appartement,3,9001 LES FLORALIES,83130,La Garde,134000,55,25380,1600,14,4,15.54,2293,43.02
2020-288264,14/05/2020,Appartement,3,9001 IMM LE SEZIO,83130,La Garde,128600,56,25380,1600,14,4,15.54,2293,43.02
2020-288271,14/05/2020,Appartement,2, LES SAVELS,83130,La Garde,130000,36,25380,1600,14,4,15.54,2293,43.02
2020-288019,14/05/2020,Appartement,2,26 IMP DE SAINTE MUSSE,83130,La Garde,460000,56,25380,1600,14,4,15.54,2293,43.02
2020-288211,14/05/2020,Appartement,3,350 RUE JEAN BARTOLINI,83130,La Garde,191400,74,25380,1600,14,4,15.54,2293,43.02
2020-288124,13/05/2020,Appartement,3,9001 RES LES RESTANQUES DU THOUAR,83130,La Garde,193500,62,25380,1600,14,4,15.54,2293,43.02
2020-287971,13/05/2020,Appartement,4,70 RUE MARC DELAGE,83130,La Garde,148000,65,25380,1600,14,4,15.54,2293,43.02
2020-288194,12/05/2020,Maison,5,94 RUE DES PETUNIAS,83130,La Garde,358000,88,25380,1600,14,4,15.54,2293,43.02
2020-288006,12/05/2020,Appartement,3,9001 LES PALMIERS,83130,La Garde,187000,64,25380,1600,14,4,15.54,2293,43.02
2020-288034,11/05/2020,Appartement,4,450 AV DU HUIT MAI 1945,83130,La Garde,183000,65,25380,1600,14,4,15.54,2293,43.02
2020-287953,11/05/2020,Appartement,3,9001 RES LES RESTANQUES DU THOUAR,83130,La Garde,196500,62,25380,1600,14,4,15.54,2293,43.02
2020-288215,07/05/2020,Maison,4,166 CHE DE SAINTE MUSSE,83130,La Garde,449000,90,25380,1600,14,4,15.54,2293,43.02
2020-287922,07/05/2020,Maison,4,39 RUE DOUMET,83130,La Garde,212000,83,25380,1600,14,4,15.54,2293,43.02
2020-287972,07/05/2020,Appartement,4,309 AV DU HUIT MAI 1945,83130,La Garde,185000,74,25380,1600,14,4,15.54,2293,43.02
2020-287955,30/04/2020,Appartement,3,53 AV DE MONTESARCHIO,83130,La Garde,181075,63,25380,1600,14,4,15.54,2293,43.02
2020-287873,30/04/2020,Maison,5,16 RUE GEORGES CLEMENCEAU,83130,La Garde,345000,100,25380,1600,14,4,15.54,2293,43.02
2020-287791,16/04/2020,Appartement,5,189 RUE JACQUES DUCLOS,83130,La Garde,245000,107,25380,1600,14,4,15.54,2293,43.02
2020-287698,10/04/2020,Appartement,4,9001 IMM LE PLEIN SOLEIL,83130,La Garde,175000,66,25380,1600,14,4,15.54,2293,43.02
2020-287561,27/03/2020,Maison,5,72 RUE GEORGES BRASSENS,83130,La Garde,529500,126,25380,1600,14,4,15.54,2293,43.02
2020-287492,19/03/2020,Maison,3,404 CHE DE RABASSON,83130,La Garde,675000,77,25380,1600,14,4,15.54,2293,43.02
2020-287537,19/03/2020,Maison,5,422 CHE DE RABASSON,83130,La Garde,500000,100,25380,1600,14,4,15.54,2293,43.02
2020-287503,19/03/2020,Terrain,, LE VILLAGE,83130,La Garde,185000,,25380,1600,14,4,15.54,2293,43.02
2020-287678,19/03/2020,Maison,5,303 ALL DES PALMIERS,83130,La Garde,441500,113,25380,1600,14,4,15.54,2293,43.02
2020-287575,17/03/2020,Terrain,, LES SAVELS,83130,La Garde,2000,,25380,1600,14,4,15.54,2293,43.02
2020-287546,17/03/2020,Appartement,1,66 RUE SERGENT CHEF LESCONNEC,83130,La Garde,95000,25,25380,1600,14,4,15.54,2293,43.02
2020-287605,17/03/2020,Appartement,2, L OLIVINE,83130,La Garde,98000,32,25380,1600,14,4,15.54,2293,43.02
2020-287617,16/03/2020,Maison,4,1493 AV ABEL GANCE,83130,La Garde,343000,99,25380,1600,14,4,15.54,2293,43.02
2020-287483,06/03/2020,Appartement,3,149 RUE JACQUES PREVERT,83130,La Garde,167450,53,25380,1600,14,4,15.54,2293,43.02
2020-287424,05/03/2020,Appartement,2,49 RUE VINCENT RASPAIL,83130,La Garde,117000,39,25380,1600,14,4,15.54,2293,43.02
2020-287457,04/03/2020,Maison,4, SAINTE MUSSE,83130,La Garde,263000,83,25380,1600,14,4,15.54,2293,43.02
2020-287541,02/03/2020,Maison,5,73 RUE DE L AUBEPINE,83130,La Garde,360000,93,25380,1600,14,4,15.54,2293,43.02
2020-287254,28/02/2020,Maison,3,114 IMP EUGENE BOUDIN,83130,La Garde,448000,83,25380,1600,14,4,15.54,2293,43.02
2020-287345,28/02/2020,Appartement,4,9001 LES FLORALIES,83130,La Garde,221000,74,25380,1600,14,4,15.54,2293,43.02
2020-287266,27/02/2020,Appartement,4,45 AV JEAN GIONO,83130,La Garde,350000,71,25380,1600,14,4,15.54,2293,43.02
2020-287450,27/02/2020,Maison,5,21 AV DE LA SOLANGE,83130,La Garde,462500,112,25380,1600,14,4,15.54,2293,43.02
2020-287256,25/02/2020,Appartement,2,94 IMP SALINAS,83130,La Garde,195000,51,25380,1600,14,4,15.54,2293,43.02
2020-287360,21/02/2020,Appartement,4,9001 RES LES RESTANQUES DU THOUAR,83130,La Garde,181000,72,25380,1600,14,4,15.54,2293,43.02
2020-287141,20/02/2020,Appartement,4,330 RUE ALBERT PIAULT,83130,La Garde,210000,91,25380,1600,14,4,15.54,2293,43.02
2020-287258,17/02/2020,Appartement,2,5001F AV DE LA PAIX,83130,La Garde,180000,51,25380,1600,14,4,15.54,2293,43.02
2020-287013,14/02/2020,Appartement,3,235 AV JULIA PILLORE,83130,La Garde,260000,68,25380,1600,14,4,15.54,2293,43.02
2020-287247,14/02/2020,Appartement,5,9001 LE BERLIOZ,83130,La Garde,215000,93,25380,1600,14,4,15.54,2293,43.02
2020-287260,14/02/2020,Terrain,, COSTE BOYERE,83130,La Garde,255000,,25380,1600,14,4,15.54,2293,43.02
2020-287178,14/02/2020,Appartement,5,9001 RES LES RESTANQUES DU THOUAR,83130,La Garde,247000,92,25380,1600,14,4,15.54,2293,43.02
2020-287016,14/02/2020,Maison,5,11 LOT LA REYNAUDE,83130,La Garde,320000,86,25380,1600,14,4,15.54,2293,43.02
2020-287312,13/02/2020,Appartement,3,9001 IMP ALAIN FOURNIER,83130,La Garde,168000,65,25380,1600,14,4,15.54,2293,43.02
2020-287246,13/02/2020,Appartement,3,452 CHE DE RABASSON,83130,La Garde,174700,69,25380,1600,14,4,15.54,2293,43.02
2020-287262,12/02/2020,Appartement,4,53 AV DE MONTESARCHIO,83130,La Garde,170000,72,25380,1600,14,4,15.54,2293,43.02
2020-287054,10/02/2020,Maison,4,9004 CHE DE BARBAROUX,83130,La Garde,358600,90,25380,1600,14,4,15.54,2293,43.02
2020-287041,07/02/2020,Maison,6,289 CHE MARCEL PAGNOL,83130,La Garde,530000,150,25380,1600,14,4,15.54,2293,43.02
2020-287204,06/02/2020,Appartement,2,19 RUE HENRI MATISSE,83130,La Garde,219000,48,25380,1600,14,4,15.54,2293,43.02
2020-287229,06/02/2020,Appartement,1,392 AV FREDERIC MISTRAL,83130,La Garde,84000,20,25380,1600,14,4,15.54,2293,43.02
2020-286946,06/02/2020,Appartement,3,9001 IMM LE SEZIO,83130,La Garde,200000,54,25380,1600,14,4,15.54,2293,43.02
2020-287210,06/02/2020,Appartement,2,276 RUE AUGUSTE RENOIR,83130,La Garde,164000,48,25380,1600,14,4,15.54,2293,43.02
2020-287143,05/02/2020,Appartement,4,9001 IMM LE SEZIO,83130,La Garde,156500,67,25380,1600,14,4,15.54,2293,43.02
2020-286983,04/02/2020,Appartement,3,185 BD MICHEL ZUNINO,83130,La Garde,190000,59,25380,1600,14,4,15.54,2293,43.02
2020-286880,03/02/2020,Maison,4,23 RUE DU FOUR,83130,La Garde,200000,89,25380,1600,14,4,15.54,2293,43.02
2020-286858,03/02/2020,Appartement,4, L OLIVINE,83130,La Garde,260000,75,25380,1600,14,4,15.54,2293,43.02
2020-286904,28/01/2020,Appartement,4,70 RUE MARC DELAGE,83130,La Garde,172500,65,25380,1600,14,4,15.54,2293,43.02
2020-286691,27/01/2020,Appartement,4,330 RUE ALBERT PIAULT,83130,La Garde,225000,91,25380,1600,14,4,15.54,2293,43.02
2020-286807,27/01/2020,Appartement,1,9001 LES FLORALIES,83130,La Garde,93000,30,25380,1600,14,4,15.54,2293,43.02
2020-286810,23/01/2020,Appartement,4,9001 RES LES RESTANQUES DU THOUAR,83130,La Garde,170500,72,25380,1600,14,4,15.54,2293,43.02
2020-286511,22/01/2020,Maison,5,58 CHE DE LA COLLINE,83130,La Garde,359723,113,25380,1600,14,4,15.54,2293,43.02
2020-286524,21/01/2020,Appartement,2,5001F RUE MARC CHAGALL,83130,La Garde,165000,48,25380,1600,14,4,15.54,2293,43.02
2020-286507,20/01/2020,Maison,4,165 RUE PIERRE GAILLARD,83130,La Garde,485000,100,25380,1600,14,4,15.54,2293,43.02
2020-286987,20/01/2020,Maison,5,235 CHE DE RABASSON,83130,La Garde,415300,130,25380,1600,14,4,15.54,2293,43.02
2020-286959,20/01/2020,Maison,4,229 AV PAUL CEZANNE,83130,La Garde,284980,77,25380,1600,14,4,15.54,2293,43.02
2020-286457,17/01/2020,Appartement,5,9001 LE BERLIOZ,83130,La Garde,200000,93,25380,1600,14,4,15.54,2293,43.02
2020-286521,17/01/2020,Appartement,4,9001 RES L OREE DE LA GARDE,83130,La Garde,202000,84,25380,1600,14,4,15.54,2293,43.02
2020-286604,16/01/2020,Appartement,2, L OLIVINE,83130,La Garde,91000,25,25380,1600,14,4,15.54,2293,43.02
2020-286787,16/01/2020,Appartement,4, LES FLAMANTS ROSES,83130,La Garde,187000,86,25380,1600,14,4,15.54,2293,43.02
2020-286581,15/01/2020,Appartement,1,313 RUE YVETTE ORTEGA JACOBS,83130,La Garde,150000,37,25380,1600,14,4,15.54,2293,43.02
2020-286597,14/01/2020,Maison,4,138 ALL D AIGUINES,83130,La Garde,419500,81,25380,1600,14,4,15.54,2293,43.02
2020-286570,14/01/2020,Appartement,2,9001 RES LES RESTANQUES DU THOUAR,83130,La Garde,155000,45,25380,1600,14,4,15.54,2293,43.02
2020-286432,10/01/2020,Maison,5,80 ALL D AIGUINES,83130,La Garde,300000,96,25380,1600,14,4,15.54,2293,43.02
2020-312575,30/06/2020,Maison,6,38 RTE DE RAON,88200,Saint-Nabord,128000,98,4023,106.2,3,1,38.14,2245,43.87
2020-312553,25/06/2020,Terrain,, REINVILLERS,88200,Saint-Nabord,3000,,4023,106.2,3,1,38.14,2245,43.87
2020-312475,03/06/2020,Maison,6,6 IMP DU CLOS MICHEL,88200,Saint-Nabord,280000,142,4023,106.2,3,1,38.14,2245,43.87
2020-312383,14/05/2020,Terrain,, AU LIEU BOULA,88200,Saint-Nabord,100000,,4023,106.2,3,1,38.14,2245,43.87
2020-312320,06/05/2020,Terrain,, LA BROCHOTTE,88200,Saint-Nabord,45000,,4023,106.2,3,1,38.14,2245,43.87
2020-312247,23/03/2020,Appartement,2,30 COTE DE MOULIN,88200,Saint-Nabord,53000,48,4023,106.2,3,1,38.14,2245,43.87
2020-312185,27/02/2020,Maison,5,27 RUE DU CENTRE,88200,Saint-Nabord,167000,121,4023,106.2,3,1,38.14,2245,43.87
2020-312183,25/02/2020,Maison,7,10 RUE DE BOUDIERE,88200,Saint-Nabord,205000,180,4023,106.2,3,1,38.14,2245,43.87
2020-312145,24/02/2020,Maison,3,32B RTE DE RAON,88200,Saint-Nabord,135000,66,4023,106.2,3,1,38.14,2245,43.87
2020-312166,17/02/2020,Maison,6,2 RUE DES QUATRE FONTAINES,88200,Saint-Nabord,175000,97,4023,106.2,3,1,38.14,2245,43.87
2020-312111,13/02/2020,Maison,10,1 RUE DES QUATRE FONTAINES,88200,Saint-Nabord,200000,190,4023,106.2,3,1,38.14,2245,43.87
2020-312099,10/02/2020,Maison,1,5806 AU MEUGEY,88200,Saint-Nabord,22000,43,4023,106.2,3,1,38.14,2245,43.87
2020-311995,28/01/2020,Terrain,, DEVANT CHAUMONT,88200,Saint-Nabord,40000,,4023,106.2,3,1,38.14,2245,43.87
2020-312044,24/01/2020,Maison,5,1T RUE DU PRE LAGRANGE,88200,Saint-Nabord,254100,160,4023,106.2,3,1,38.14,2245,43.87
2020-312018,23/01/2020,Maison,4,20 RUE DU CENTRE,88200,Saint-Nabord,125000,70,4023,106.2,3,1,38.14,2245,43.87
2019-925209,27/12/2019,Maison,4,35 RUE DES PROVINCES,88200,Saint-Nabord,154900,100,4023,106.2,3,1,38.14,2245,43.87
2019-925213,27/12/2019,Terrain,, CHAMP CUISINIER,88200,Saint-Nabord,100,,4023,106.2,3,1,38.14,2245,43.87
2019-925179,20/12/2019,Maison,5,30 RTE DE RAON,88200,Saint-Nabord,95981,84,4023,106.2,3,1,38.14,2245,43.87
2019-924883,04/11/2019,Terrain,, A LA CORTE,88200,Saint-Nabord,4200,,4023,106.2,3,1,38.14,2245,43.87
2019-924911,28/10/2019,Terrain,, BELLEROUVEROYE,88200,Saint-Nabord,12500,,4023,106.2,3,1,38.14,2245,43.87
2019-924797,18/10/2019,Appartement,3,15 FG DE REMIREMONT,88200,Saint-Nabord,110000,60,4023,106.2,3,1,38.14,2245,43.87
2019-924670,24/09/2019,Maison,4,4 IMP DES CENCIEUX,88200,Saint-Nabord,204000,100,4023,106.2,3,1,38.14,2245,43.87
2019-924604,03/09/2019,Maison,4,3 RUE DES DEUX RUISSEAUX,88200,Saint-Nabord,106600,85,4023,106.2,3,1,38.14,2245,43.87
2019-924526,08/08/2019,Maison,5,13T RUE DES DEUX RUISSEAUX,88200,Saint-Nabord,170000,84,4023,106.2,3,1,38.14,2245,43.87
2019-924414,29/07/2019,Maison,2,5859 DERRIERE CHAUMONT,88200,Saint-Nabord,30000,31,4023,106.2,3,1,38.14,2245,43.87
2019-924455,10/07/2019,Maison,4,1 RUE DE LA MOSELLE,88200,Saint-Nabord,110000,72,4023,106.2,3,1,38.14,2245,43.87
2019-924327,08/07/2019,Terrain,, LE PRE DE LA MORTE,88200,Saint-Nabord,1700,,4023,106.2,3,1,38.14,2245,43.87
2019-924331,08/07/2019,Terrain,, LE PRE DE LA MORTE,88200,Saint-Nabord,1,,4023,106.2,3,1,38.14,2245,43.87
2019-924214,07/06/2019,Terrain,, SOUS FROID,88200,Saint-Nabord,30000,,4023,106.2,3,1,38.14,2245,43.87
2019-924062,20/05/2019,Terrain,, AUX VIAUX,88200,Saint-Nabord,20000,,4023,106.2,3,1,38.14,2245,43.87
2019-924013,09/05/2019,Terrain,, LE HAUT DES FEIGNES,88200,Saint-Nabord,36000,,4023,106.2,3,1,38.14,2245,43.87
2019-923909,12/04/2019,Maison,4,18 RUE DE BELLEVUE,88200,Saint-Nabord,122000,93,4023,106.2,3,1,38.14,2245,43.87
2019-923936,08/04/2019,Maison,3,14 RUE D ARMONT,88200,Saint-Nabord,64200,40,4023,106.2,3,1,38.14,2245,43.87
2019-923792,20/03/2019,Appartement,2,7 FG DE REMIREMONT,88200,Saint-Nabord,82000,66,4023,106.2,3,1,38.14,2245,43.87
2019-923766,11/03/2019,Maison,7,1 IMP DE FOSSE,88200,Saint-Nabord,166000,167,4023,106.2,3,1,38.14,2245,43.87
2019-923722,28/02/2019,Maison,8,9 IMP DE LA MOSELLE,88200,Saint-Nabord,315000,175,4023,106.2,3,1,38.14,2245,43.87
2019-923683,22/02/2019,Maison,5,24 IMP DES CENCIEUX,88200,Saint-Nabord,150850,101,4023,106.2,3,1,38.14,2245,43.87
2019-923668,18/02/2019,Maison,5,4 RUE DES ASCENSEMENTS,88200,Saint-Nabord,48000,111,4023,106.2,3,1,38.14,2245,43.87
2019-923651,15/02/2019,Terrain,, LE GRAND FEIGNE,88200,Saint-Nabord,9500,,4023,106.2,3,1,38.14,2245,43.87
2019-923579,29/01/2019,Maison,5,17 RTE DE RAON,88200,Saint-Nabord,133000,91,4023,106.2,3,1,38.14,2245,43.87
2019-923536,17/01/2019,Appartement,4,15 RUE DES MURIERS,88200,Saint-Nabord,111100,90,4023,106.2,3,1,38.14,2245,43.87
2018-1216305,28/12/2018,Maison,5,18 RUE D ARMONT,88200,Saint-Nabord,171000,83,4023,106.2,3,1,38.14,2245,43.87
2018-1216191,21/12/2018,Maison,3,26 RUE DE SOUS FROID,88200,Saint-Nabord,77600,81,4023,106.2,3,1,38.14,2245,43.87
2018-1216242,21/12/2018,Terrain,, LOUVEAUX,88200,Saint-Nabord,50000,,4023,106.2,3,1,38.14,2245,43.87
2018-1216265,20/12/2018,Appartement,5,2 RUE DE MONTIROCHE,88200,Saint-Nabord,183000,125,4023,106.2,3,1,38.14,2245,43.87
2018-1216219,18/12/2018,Maison,6,5891 LE VAL COURROYE,88200,Saint-Nabord,210000,131,4023,106.2,3,1,38.14,2245,43.87
2018-1216144,03/12/2018,Maison,5,5 RUE DU PRE LAGRANGE,88200,Saint-Nabord,296280,182,4023,106.2,3,1,38.14,2245,43.87
2018-1216089,30/11/2018,Maison,5,32 RTE DE RAON,88200,Saint-Nabord,178000,91,4023,106.2,3,1,38.14,2245,43.87
2018-1216102,29/11/2018,Maison,3,18 RUE DE SOUS FROID,88200,Saint-Nabord,70000,92,4023,106.2,3,1,38.14,2245,43.87
2018-1216072,23/11/2018,Terrain,, LE VIEIL ETANG,88200,Saint-Nabord,8000,,4023,106.2,3,1,38.14,2245,43.87
2018-1215876,15/10/2018,Appartement,3,11 COTE DE MOULIN,88200,Saint-Nabord,71500,95,4023,106.2,3,1,38.14,2245,43.87
2018-1215951,03/10/2018,Terrain,, LONGUET,88200,Saint-Nabord,50000,,4023,106.2,3,1,38.14,2245,43.87
2018-1215755,07/09/2018,Maison,7,5B RUE DE SOUS FROID,88200,Saint-Nabord,192000,132,4023,106.2,3,1,38.14,2245,43.87
2018-1215703,06/09/2018,Terrain,, ANTY,88200,Saint-Nabord,28000,,4023,106.2,3,1,38.14,2245,43.87
2018-1215701,01/09/2018,Appartement,3,10 RUE CHAUDE,88200,Saint-Nabord,50000,40,4023,106.2,3,1,38.14,2245,43.87
2018-1215705,24/08/2018,Maison,5,6 RUE DES TROIS SAPINS,88200,Saint-Nabord,100000,98,4023,106.2,3,1,38.14,2245,43.87
2018-1215499,11/07/2018,Terrain,, DERRIERE CHAUMONT,88200,Saint-Nabord,8200,,4023,106.2,3,1,38.14,2245,43.87
2018-1215430,29/06/2018,Terrain,, VILLAGE DE MOULIN,88200,Saint-Nabord,3800,,4023,106.2,3,1,38.14,2245,43.87
2018-1215404,15/06/2018,Terrain,, LE VIEIL ETANG,88200,Saint-Nabord,7000,,4023,106.2,3,1,38.14,2245,43.87
2018-1215234,04/06/2018,Maison,6,16 FG DE REMIREMONT,88200,Saint-Nabord,123200,100,4023,106.2,3,1,38.14,2245,43.87
2018-1215243,24/05/2018,Maison,5,10 RUE DES ASCENSEMENTS,88200,Saint-Nabord,140000,129,4023,106.2,3,1,38.14,2245,43.87
2018-1215205,23/05/2018,Maison,7,14 IMP DU CLOS MICHEL,88200,Saint-Nabord,201000,146,4023,106.2,3,1,38.14,2245,43.87
2018-1215115,27/04/2018,Maison,5,2 RUE DE TURENNE,88200,Saint-Nabord,128700,99,4023,106.2,3,1,38.14,2245,43.87
2018-1215083,25/04/2018,Terrain,, ANTY,88200,Saint-Nabord,600,,4023,106.2,3,1,38.14,2245,43.87
2018-1214958,23/03/2018,Appartement,5,30 COTE DE MOULIN,88200,Saint-Nabord,82000,124,4023,106.2,3,1,38.14,2245,43.87
2018-1214904,16/03/2018,Maison,3,21 RUE DE LONGUET,88200,Saint-Nabord,82000,80,4023,106.2,3,1,38.14,2245,43.87
2018-1214889,13/03/2018,Maison,5,40 RTE DE RAON,88200,Saint-Nabord,117000,95,4023,106.2,3,1,38.14,2245,43.87
2018-1214884,23/02/2018,Maison,4,21 RUE DU RANG DE VESEAUX,88200,Saint-Nabord,110000,110,4023,106.2,3,1,38.14,2245,43.87
2018-1214782,15/02/2018,Terrain,, PUSIEUX,88200,Saint-Nabord,3200,,4023,106.2,3,1,38.14,2245,43.87
2018-1214750,05/02/2018,Maison,6,11 RUE DES ASCENSEMENTS,88200,Saint-Nabord,295000,171,4023,106.2,3,1,38.14,2245,43.87
2017-1247427,28/12/2017,Terrain,, SOUS FROID,88200,Saint-Nabord,125500,,4023,106.2,3,1,38.14,2245,43.87
2017-1247416,28/12/2017,Terrain,, BREUCHOTTE ALLEMANDE,88200,Saint-Nabord,2000,,4023,106.2,3,1,38.14,2245,43.87
2017-1247410,27/12/2017,Maison,4,2 RUE DES QUATRE VENTS,88200,Saint-Nabord,38500,123,4023,106.2,3,1,38.14,2245,43.87
2017-1247221,09/11/2017,Terrain,, DEVANT CHAUMONT,88200,Saint-Nabord,139400,,4023,106.2,3,1,38.14,2245,43.87
2017-1247154,31/10/2017,Maison,6,5 RUE D ARMONT,88200,Saint-Nabord,231600,132,4023,106.2,3,1,38.14,2245,43.87
2017-1247095,26/10/2017,Terrain,, AUX ROCHES,88200,Saint-Nabord,4000,,4023,106.2,3,1,38.14,2245,43.87
2017-1247071,12/10/2017,Maison,4,58 RUE DU CENTRE,88200,Saint-Nabord,75000,82,4023,106.2,3,1,38.14,2245,43.87
2017-1247033,03/10/2017,Terrain,, ANTY,88200,Saint-Nabord,30000,,4023,106.2,3,1,38.14,2245,43.87
2017-1246938,29/09/2017,Maison,5,9 RUE DES QUATRE VENTS,88200,Saint-Nabord,190000,119,4023,106.2,3,1,38.14,2245,43.87
2017-1246995,22/09/2017,Appartement,3, RANFAING,88200,Saint-Nabord,54000,60,4023,106.2,3,1,38.14,2245,43.87
2017-1246997,22/09/2017,Terrain,, RANFAING,88200,Saint-Nabord,1000,,4023,106.2,3,1,38.14,2245,43.87
2017-1246990,22/09/2017,Appartement,2, RANFAING,88200,Saint-Nabord,72500,78,4023,106.2,3,1,38.14,2245,43.87
2017-1246929,31/08/2017,Appartement,4,19 RUE DU RANG DE VESEAUX,88200,Saint-Nabord,79000,98,4023,106.2,3,1,38.14,2245,43.87
2017-1247230,25/08/2017,Maison,4,5291 MONTIROCHE,88200,Saint-Nabord,180000,100,4023,106.2,3,1,38.14,2245,43.87
2017-1246805,21/08/2017,Maison,5,35C RUE DU ROND PRE,88200,Saint-Nabord,236400,124,4023,106.2,3,1,38.14,2245,43.87
2017-1246766,08/08/2017,Terrain,, LE PRE BENA,88200,Saint-Nabord,27000,,4023,106.2,3,1,38.14,2245,43.87
2017-1246659,21/07/2017,Appartement,2,34 RUE DU CENTRE,88200,Saint-Nabord,205000,39,4023,106.2,3,1,38.14,2245,43.87
2017-1246657,20/07/2017,Maison,6,2B RUE DES ASCENSEMENTS,88200,Saint-Nabord,132500,98,4023,106.2,3,1,38.14,2245,43.87
2017-1246630,11/07/2017,Terrain,, LES HERBURES,88200,Saint-Nabord,125000,,4023,106.2,3,1,38.14,2245,43.87
2017-1246488,17/06/2017,Maison,5,29 RUE DU ROND PRE,88200,Saint-Nabord,158000,102,4023,106.2,3,1,38.14,2245,43.87
2017-1246577,15/06/2017,Terrain,, DEVANT CHAUMONT,88200,Saint-Nabord,52500,,4023,106.2,3,1,38.14,2245,43.87
2017-1246443,06/06/2017,Terrain,, LE PLEIN,88200,Saint-Nabord,76005,,4023,106.2,3,1,38.14,2245,43.87
2017-1246392,31/05/2017,Appartement,5,28 RUE DU VIEUX CHAUMONT,88200,Saint-Nabord,300000,145,4023,106.2,3,1,38.14,2245,43.87
2017-1246395,29/05/2017,Appartement,2,7 FG DE REMIREMONT,88200,Saint-Nabord,65000,66,4023,106.2,3,1,38.14,2245,43.87
2017-1246354,04/05/2017,Terrain,, PUSIEUX,88200,Saint-Nabord,4000,,4023,106.2,3,1,38.14,2245,43.87
2017-1246275,28/04/2017,Maison,4,6 RUE DU QUETTY,88200,Saint-Nabord,132000,158,4023,106.2,3,1,38.14,2245,43.87
